a 嗄啊錒锕吖呵阿腌
ai 皑哎乂嬡哀瑷毐阸薆懓馤餲欸凒爱锿嵦嘊嗌埃敱堨昹焥唉璦艾靉磑挨皧鑀娾溾鎄嫒僾賹皚娭噯閡硙騃霭壒躷敳暧矮阨蔼癌溰隑伌藹叆啀靄嗳塧瞹捱譪醷砹硋曖隘鴱礙濭碍懝愛譺呝絠
an 安盫垾鞍豻儑雸玵峖啽屽鹌谙罯揞侒鞌蓭隌犴洝鮟胺厈俺黯頇盦案菴垵鶕岸堓暗銨錌闇馣頞碪荌鵪氨裺腤誝媕廣咹葊婩韽按庵諳桉唵萻广铵晻厂痷貋埯
ang 岇肮枊骯昂醃醠卬盎
ao 廒鳌嗷厫柪嗸摮垇奧嶴袄蔜獓囂獒澳梎鴢岙岰璈懊嫯奡翶擙遨鷔嶅驁螯扷媪鼇慠坳骜墺鏖爊熝抝蝹鏊隞凹謷鰲滶嚣翺镺媼芺聱拗敖奥嚻襖傲翱熬謸軪磝
ba 跋妭夿叐玐芭魃霸垻跁把壩八矲弝坝釟丷羓鈀鼥柭欛捌拔靶紦軷豝詙哵叭吧灞朳覇鮊胈仈钯鲌鲅罷笆岜粑峇疤炦颰鮁鲃爸扒巴茇癹菝墢罢釛坺蚆犮耙
bai 稗擺佰栢白薭掰猈粺拜伯呗柏摆竡粨捭拝贁襬唄絔敗韛败挀百
ban 姅柈扮阪岅肦秚斑颁辦怑朌坂絆搬頒籓扳昄鈑辬螌半闆癍钣跘瘢魬办湴鉡靽粄攽蝂埿伴坢拌班覂褩板鳻般绊斒瓣版瓪舨
bang 邦謗綁縍梆磅棒濱榜幫绑硥玤棓蛖镑徬艕幇蒡蚄塝捠浜鞤紡挷蚌幚髈傍埲稖谤蜯帮搒崗膀邫垹牓鎊
bao 報靤宲薄葆緥菢堢暴孢蕔曝勹蚫鑤勽珤炮曓儤枹宀豹趵包剝裦怉襃飽鮑龅鴇骲忁媬笣爆刨瀑煲鸨闁苞雹駂寶佨胞报保鲍铇靌寳窇髱齙飹抱褒宝堡鳵虣袌鉋寚剥賲褓饱藵
bei 琲卑箄鞴柸焙鹎碑垻鞁孛盃唄臂鐴背备辈誖鉳珼狽韝椑梖偹愂俻襬碚昁偝倍禙犕貝憊狈鄁棑悖鋇苝悲輩藣鐾北贝揹桮惫杯糒被蓓呗钡鵯邶僃陂牬備萯褙骳蛽杮軰
ben 贲奙蟦泍撪獖渀喯桳輽犇夯賁锛鐼苯奔燌倴畚笨捹炃錛本楍坌逩翉
beng 埄绷嵭蹦伻挷蚌跰琫傰琣鞛繃閍崩迸痭甭菶甏镚埲綳錋鏰奟塴祊嘣絣泵揼逬
bi 柀嗶皀鷩彼蓖柲婢臂躃稫髲币坒狴蓽嬖繴閇畁楅贔鞸庳笔夶皕鴓赑獘拂泌煏痺畐螕罼貏禆荸躄粃邲毕肸痹觱秘粊跸疕鐴潷疪弻鶝裨偪饆湢韠翍縪滗铋陛閉鰏比枈詖濞薜蹕佖避紴闭鮅哔璧碧斃篦魓鞞胇幤閟蘗豍啚熚贲畀幣襞壁鉍弊鼊鄨闬腷必驆庇俾賁鞁襅毙髀鼻怶鄙珌佊蜌愊舭毴駜奰鮩弼筚箅馝苾匕獙怭咇袐堛鄪荜崥綼篳箆旇辟诐彃畢妼廦笓襣愎踾敝妣萞秕屄滭毖鵖榌聛沘逼飶吡萆鎞鏎鸊貱筆鲾閈蔽壀鷝梐朼娝
bian 鳊覍牑辨昪蝙臱辫変藊變褊缏覵箯辯贬稨忭辧弁鯿遍徧疺獱煸糄便惼邊汳边汴鞕貶鯾萹邉变艑釆笾鴘碥苄辡緶鞭辩玣砭籩揙窆鍽卞匾猵頨辮扁編抃閞豍邲编
biao 檦標鰾脿儦飈褾猋鳔膘瀌裱嫑鑣穮滮飇颮镖飆飚瘭麃镳飊髟諘骠彪磦淲蔈飑爂婊俵墂熛飙表錶膔骉灬标杓幖臕贆颷謤摽驃藨鏢驫
bie 蹩别鱉憋鼈別苾癟鳖蛂彆咇莂徶蟞瘪柲龞襒虌
bin 瑸擯赟髩濱邠鬢濵傧繽鬓殯顮摈鬂膑虨贇訜豩滨賔瀕臏宾汃彬髌豳斌璸霦賓镔缤椕槟儐檳髕鑌濒殡玢
bing 柄炳偋棅栤梹丙竝併癝屏陃饼病窉兵餠仒疒靐傡蛃氷琕抦仌綆冰癛昺昞並寎邴餅秉誁槟栟眪禀檳鈵怲并幷鞞屛掤絣鉼稟摒苪庰倂鞸鮩
bo 駁髉妭袹駮薄驋彴膊鱍驳愽襮卜擘搏撥餑渤癶鉑碆孛葧犻馛簙砵襎狛蔢溊茀舶礴郣瓝僠蚾趵檘柭伯潑萡剝鉢蹳嶓帗钵糪欂檗肑牔馞詙箔浡踣脖淿瓟煿魄礡犦菠钹掰袯湐嚗鹁亳馎發桲哱勃饽鮊柏鋍壆餺鲌袚鑮挬紴胉豰懪簸啵噃蔔秡帛鈸鵓襏譒鮁铂侼猼波磻僰鎛苩拨播博髆缽跛艊仢孹般玻剥镈箥蘗盋泊
bu 埔峬部布抪悑逋庯卜埠轐佈醭勏卟鳪踄瓿餢箁輹柨咘誧荹廍捗晡哺步歩巭钚补鸔吥堡钸補鵏尃撲郶篰蔀餔怖簿獛秿鈈捕陠鈽婄埗歨不
ca 擦嚓礸拆攃遪礤囃
cai 毝裁材啋採綵財财踩棌睬彩采婇跴埰倸縩猜寀菜纔才蔡偲揌
can 傪參璨惭蠶惨嬱飱蚕嘇爘参慘蝅掺湌飡殘鲹嵾黪餐蠺嬠謲儏黲朁燦孱憯鰺慙摲慚摻粲喰残骖鯵叅澯薒灿驂蹔
cang 傖舱匨賶伧鸧苍沧艙獊倉藏蔵篬凔嵢鶬滄仓濸蒼鑶螥仺
cao 曹懆鏪嶆嘈槽慅螬漕騲愺撡屮草操曺艸艹褿傮糙艚慒蓸
ce 笧萗荝廁筴冊箣侧側厠畟惻测拺册蓛厕齰策敇測墄粣憡筞恻萴簎
cen 涔梣硶參参嵾岑笒
ceng 层嶒竲噌曽橧驓曾蹭層
