A1      吖阿呵啊腌锕錒
A2      呵啊嗄
A3      呵啊
A4      呵啊
A5      阿啊
AI1     哎哀唉埃娭挨捱欸嗳溾锿噯鎄
AI2     挨啀娾捱皑硙凒隑嵦溰嘊敱敳皚磑癌騃
AI3     毐哎昹娾欸絠嗳矮蔼躷噯濭藹譪霭靄
AI4     乂艾伌阨阸呝哎唉爱砹硋堨焥隘嗌嗳塧嫒愛碍叆暧瑷閡僾噯壒嬡懓薆懝曖璦賹餲鴱皧瞹馤礙醷譺鑀靉
AI5     乂艾伌阨毐阸呝哎哀昹唉埃娭挨爱砹啀娾捱欸皑硋硙凒堨焥絠隑隘嗌嗳塧嫒嵦愛溰溾矮碍叆嘊敱敳暧瑷蔼锿閡僾皚磑躷噯壒嬡懓薆懝曖濭璦癌賹鎄餲騃鴱皧瞹馤礙藹譪霭醷譺鑀靄靉
AN1     厂广安侒峖桉氨庵菴谙啽媕萻葊痷腤裺鹌廣蓭誝鞌鞍盦諳闇馣鮟盫鵪韽鶕
AN3     侒垵俺唵埯铵隌揞晻碪罯銨
AN4     厈屽犴岸咹按洝荌垾案胺豻堓婩晻頇暗貋頞儑錌闇鮟黯
AN5     厂广厈安屽犴侒岸咹垵峖按洝玵荌俺垾案桉氨胺豻唵埯堓婩庵菴谙铵隌啽媕揞晻萻葊頇暗痷腤裺雸鹌廣碪罯蓭誝貋銨鞌鞍頞儑盦諳錌闇馣鮟盫鵪韽鶕黯
ANG1    肮骯醃
ANG2    卬岇昂枊
ANG4    盎醠
ANG5    卬岇昂枊肮盎骯醃醠
AO1     凹柪梎軪熬熝鴢爊
AO2     敖厫隞嗷嗸嶅廒慠滶獒獓遨摮熬璈蔜磝翱聱螯翶謷嚣翺鳌鏖嚻囂鰲鷔鼇
AO3     抝芺拗袄媪镺媼蝹襖
AO4     岙扷抝坳垇岰拗柪傲奡奥軪嫯嶅慠骜奧墺嶴澳懊擙謷謸鏊驁鷔
AO5     凹岙扷抝芺坳垇岰拗柪袄敖梎傲厫奡奥媪軪镺隞嗷嗸媼嫯嶅廒慠滶獒獓遨骜奧摮熬璈蔜墺嶴澳熝磝蝹懊擙翱聱螯鴢翶襖謷謸嚣翺鏊鳌爊鏖驁嚻囂鰲鷔鼇
BA1     丷八仈巴叭扒朳玐吧夿岜芭峇柭疤钯哵捌笆粑紦罢羓蚆釛釟豝鈀鲃罷
BA2     八叐犮坺妭拔茇炦癹胈菝詙跋軷颰魃墢鼥
BA3     把钯鈀靶
BA4     坝弝把爸垻罢耙跁鲃鲅鲌罷鮁鮊覇矲霸壩灞欛
BA5     八巴叭吧爸笆
BAI1    挀掰
BAI2    白
BAI3    百伯佰柏栢捭竡粨絔摆擺襬
BAI4    呗拝败拜唄敗猈稗粺薭贁韛
BAI5    伯拜
BAN1    扳攽朌肦班般颁斑搬斒頒瘢鳻螌褩癍辬籓
BAN3    阪坂岅昄板版瓪钣粄舨覂鈑蝂魬闆
BAN4    办半伴扮坢姅怑拌绊柈秚埿湴絆跘鉡靽辦瓣
BAN5    半扮
BANG1   邦垹帮捠梆浜崗邫幇幚縍幫濱鞤
BANG3   绑紡綁榜牓膀髈
BANG4   玤挷蚄蚌埲傍棒棓硥谤塝徬搒稖蒡蛖膀蜯磅镑縍艕謗鎊
BANG5   邦玤垹帮挷绑捠梆浜紡蚄蚌埲崗邫傍幇棒棓硥綁谤塝徬搒稖蒡蛖幚榜牓膀蜯磅镑縍艕幫濱謗鎊鞤髈
BAO1    勹包佨孢苞枹炮胞剝剥笣煲龅蕔裦褒闁鮑襃齙
BAO2    窇铇鉋雹薄
BAO3    宀宝怉饱保鸨宲珤堡堢媬葆寚飹飽褓駂鳵緥鴇賲藵寳寶靌
BAO4    勽刨报怉抱豹趵铇菢蚫袌報鉋鲍靤骲暴髱虣鮑儤曓瀑曝爆忁鑤
BAO5    勹宀勽包佨刨报孢宝怉抱苞饱保枹炮胞鸨剝剥宲珤窇豹趵铇笣菢蚫袌堡堢報媬葆寚煲鉋雹飹飽鲍龅褓靤駂骲鳵暴緥蕔裦褒髱鴇薄虣賲闁鮑儤曓襃瀑藵寳曝爆寶忁齙鑤靌
BEI1    陂卑杯柸盃背桮悲揹椑碑鹎箄藣鵯襬
BEI3    北鉳
BEI4    贝孛狈貝邶备昁杮牬苝背钡俻倍垻悖狽被偝偹梖珼鄁備僃惫棑焙琲萯軰辈愂碚禙蓓蛽犕褙誖鞁骳輩鋇憊糒鞴韝鐴鐾
BEI5    呗唄褙臂
BEN1    奔泍贲倴喯渀逩犇賁锛錛蟦鐼
BEN3    本苯奙畚翉楍
BEN4    夯坌奔泍炃倴捹桳渀笨逩撪獖燌輽
BEN5    夯本坌奔泍炃苯贲倴奙畚喯捹桳渀笨翉逩犇賁楍锛撪獖燌錛輽蟦鐼
BENG1   伻祊挷奟崩绷絣閍傰嵭痭嘣綳繃
BENG2   甭
BENG3   埄埲绷菶琣琫綳繃鞛
BENG4   泵迸蚌绷逬揼跰塴綳甏錋镚繃蹦鏰
